#cP2022  6 12  0  0  0.00000000     192 ORBIT IGb14 HLM  IGS
## 2214      0.00000000   900.00000000 59742 0.0000000000000
+   32   G01G02G03G04G05G06G07G08G09G10G11G12G13G14G15G16G17
+        G18G19G20G21G22G23G24G25G26G27G28G29G30G31G32  0  0
+          0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
+          0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
+          0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
++         4  3  3  4  3  3  3  3  3  4  4  4  3  4  3  4  4
++         4  4  4  4  3  4  3  3  3  3  4  3  3  3  3  0  0
++         0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
++         0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
++         0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
%c G  cc GPS ccc cccc cccc cccc cccc ccccc ccccc ccccc ccccc
%c cc cc ccc ccc cccc cccc cccc cccc ccccc ccccc ccccc ccccc
%f  1.2500000  1.025000000  0.00000000000  0.000000000000000
%f  0.0000000  0.000000000  0.00000000000  0.000000000000000
%i    0    0    0    0      0      0      0      0         0
%i    0    0    0    0      0      0      0      0         0
/* ULTRA ORBIT COMBINATION 22141_00 (59743.000) FROM:       
/* cou emu esu gfu siu usu whu                              
/* REFERENCED TO emu CLOCK AND TO WEIGHTED MEAN POLE:       
/* PCV:IGS14_2196 OL/AL:FES2004  NONE     Y  ORB:CMB CLK:CMB
*  2022  6 12  0  0  0.00000000
PG01 -13209.793535  22235.585404  -5454.400909    343.241631  7  7  9 197       
PG02  19103.624483 -11250.904761 -14087.341556   -652.759535  8  7  7 198       
PG03  -9404.371204  13182.920528 -21141.607663   -275.601570  7  8  6 165       
PG04  -3816.305690  21144.893700 -15544.631160   -158.024967  8  6  8 198       
PG05  22697.890188  -6372.013635  12211.552226    -85.195479  3  9  5 102       
PG06  14580.706755   4609.130735 -21668.093801    339.923962  5  9  7 203       
PG07    429.826720  19918.492225  17725.297336    321.871882  7  7  9 133       
PG08  -9274.367942  14177.017716  20324.651499    -71.769538  8  8  5 204       
PG09   5278.167320  25048.059855  -7086.998931   -329.174756  5  2  9 178       
PG10 -20344.200268 -11632.366627  12926.145625   -451.256636  8  7 10 235       
PG11  20609.292475  -8210.304152 -14592.652317    -15.774155 13  9 10 218       
PG12  13948.699538 -11040.177288 -19957.128658   -229.706239  6  5  7 177       
PG13  14389.544071  -4179.198884  21774.074453    328.280745  8  9  7 198       
PG14  18821.992100  13086.449903  13494.715272   -111.308379  9  7  7 196       
PG15   7600.617296 -15901.108932  19366.264096    -53.963831 10  8  5 197       
PG16 -25452.501090   -191.398580   8091.514393   -508.260148  9  7  7 176       
PG17  13329.773372  20973.493746  -8864.993705    623.904741  7  6  8 178       
PG18    951.481283 -20004.069823  17378.987779    144.761338 11  7 11 196       
PG19  15589.414718  14462.933996 -16311.189689    169.485239  8  8  8 163       
PG20  26370.046905  -1385.892221   1189.561468    512.195871  6  8  8 162       
