                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.7744,                 4.7666,                 2.0632,                0.00889,                0.00483,                0.00467,                0.00208,                  2.973,                 4.7521,                 1.3351,                      0,                      0,                      0
                      2,                 4.7218,                 4.7272,                 1.9715,                   0.01,                0.00544,                0.00536,                0.00265,                 2.8501,                 4.5031,                 1.2803,             1.9802e-05,             1.9802e-05,             1.9802e-05
                      3,                 4.2662,                 4.5891,                 1.7976,                0.06333,                0.03444,                0.03344,                 0.0138,                 2.7108,                 3.8388,                  1.199,             3.9208e-05,             3.9208e-05,             3.9208e-05
                      4,                 4.0821,                 4.0722,                 1.6462,                0.28778,                 0.1565,                 0.1824,                0.08301,                 2.5588,                 2.3375,                 1.0844,             5.8218e-05,             5.8218e-05,             5.8218e-05
                      5,                  4.162,                 3.3803,                 1.5324,                0.53909,                0.20483,                0.29954,                0.13265,                 2.5354,                 1.5622,                 1.0283,             7.6832e-05,             7.6832e-05,             7.6832e-05
                      6,                 4.1329,                 2.7405,                 1.4659,                0.54108,                0.21813,                0.34729,                0.13676,                 2.6925,                 3.9788,                 1.0236,              9.505e-05,              9.505e-05,              9.505e-05
                      7,                 3.5427,                 2.5656,                 1.4123,                0.42333,                0.23021,                0.36095,                 0.1314,                 2.8247,                 7.7561,                  1.034,             0.00011287,             0.00011287,             0.00011287
                      8,                 3.1494,                 2.1424,                 1.3288,                0.42667,                0.23202,                0.35957,                0.14032,                 2.7389,                 8.4236,                 1.0227,              0.0001303,              0.0001303,              0.0001303
                      9,                 3.9351,                 1.8674,                 1.2789,                0.40222,                0.21873,                0.32594,                0.12893,                 2.7393,                 8.5387,                 1.0247,             0.00014733,             0.00014733,             0.00014733
                     10,                 3.1994,                 1.6269,                 1.1308,                0.38111,                0.20725,                0.25994,                0.10664,                 2.7385,                 5.8379,                 1.0282,             0.00016396,             0.00016396,             0.00016396
                     11,                 3.1695,                 1.5138,                 1.1778,                0.38333,                0.20846,                0.23243,                0.09984,                 2.7056,                 5.1059,                  1.025,              0.0001802,              0.0001802,              0.0001802
                     12,                  2.944,                 1.5184,                 1.1596,                0.37778,                0.20544,                0.22769,                 0.0995,                 2.6164,                 5.6379,                 1.0108,             0.00019604,             0.00019604,             0.00019604
                     13,                 2.8125,                  1.546,                 1.2125,                    0.4,                0.21752,                 0.2435,                0.11271,                 2.4363,                 5.6757,                0.98804,             0.00021149,             0.00021149,             0.00021149
                     14,                 3.0193,                 1.2412,                 1.0925,                0.44333,                0.24109,                0.27539,                0.12853,                 2.3348,                  5.835,                0.97223,             0.00022654,             0.00022654,             0.00022654
                     15,                   3.11,                 1.6608,                 1.1243,                0.47556,                0.25861,                0.31751,                0.14934,                 2.2777,                    4.9,                0.96292,             0.00024119,             0.00024119,             0.00024119
                     16,                 2.5008,                  1.235,                 1.0665,                0.49556,                0.26949,                0.36522,                0.17114,                 2.2155,                 3.4961,                0.95556,             0.00025545,             0.00025545,             0.00025545
                     17,                 2.5844,                 1.2077,                 1.0824,                0.52444,                 0.2852,                0.40801,                0.18948,                 2.2045,                 3.0905,                0.95571,             0.00026931,             0.00026931,             0.00026931
                     18,                 3.3552,                 1.3438,                 1.1342,                0.52444,                 0.2852,                0.40801,                0.18948,                 2.2045,                 3.0905,                0.95571,             0.00028278,             0.00028278,             0.00028278
                     19,                 2.5786,                 1.3035,                  1.102,                0.54749,                0.27372,                0.41967,                0.18976,                 2.2129,                 2.8674,                 0.9584,             0.00029585,             0.00029585,             0.00029585
                     20,                 2.4743,                 1.1346,                 1.0546,                0.54749,                0.27372,                0.41967,                0.18976,                 2.2129,                 2.8674,                 0.9584,             0.00030852,             0.00030852,             0.00030852
                     21,                 2.4241,                 1.1602,                 1.1002,                0.60035,                0.30393,                0.46536,                0.21396,                 2.1733,                 2.5497,                0.95822,              0.0003208,              0.0003208,              0.0003208
                     22,                 2.3742,                 1.1188,                 1.0717,                0.60035,                0.30393,                0.46536,                0.21396,                 2.1733,                 2.5497,                0.95822,             0.00033268,             0.00033268,             0.00033268
                     23,                 2.5388,                 1.1548,                 1.0617,                0.61742,                0.31118,                0.47364,                0.21529,                 2.1545,                 3.1442,                 0.9576,             0.00034417,             0.00034417,             0.00034417
                     24,                 3.0399,                 1.2305,                 1.0558,                0.61742,                0.31118,                0.47364,                0.21529,                 2.1545,                 3.1442,                 0.9576,             0.00035526,             0.00035526,             0.00035526
                     25,                   2.89,                 1.1734,                 1.0668,                0.60227,                0.31178,                 0.4623,                0.21134,                 2.1474,                 3.6261,                0.95756,             0.00036595,             0.00036595,             0.00036595
                     26,                 2.9463,                 1.1432,                 1.0374,                0.60227,                0.31178,                 0.4623,                0.21134,                 2.1474,                 3.6261,                0.95756,             0.00037625,             0.00037625,             0.00037625
                     27,                 2.5055,                 1.1219,                 1.0455,                0.60478,                0.31299,                0.46473,                0.21269,                 2.1182,                 3.2459,                0.95656,             0.00038615,             0.00038615,             0.00038615
                     28,                 2.7027,                 1.1411,                 1.0412,                0.60478,                0.31299,                0.46473,                0.21269,                 2.1182,                 3.2459,                0.95656,             0.00039566,             0.00039566,             0.00039566
                     29,                 2.3148,                 1.1329,                 1.0831,                0.61148,                0.31239,                0.46745,                0.21793,                 2.1026,                 2.6007,                0.95861,             0.00040477,             0.00040477,             0.00040477
                     30,                 2.7185,                 1.1015,                 1.0054,                0.61148,                0.31239,                0.46745,                0.21793,                 2.1026,                 2.6007,                0.95861,             0.00041348,             0.00041348,             0.00041348
                     31,                 2.4015,                 1.1949,                 1.0447,                0.61524,                 0.3148,                0.47017,                0.22002,                  2.096,                 2.5833,                0.95962,              0.0004218,              0.0004218,              0.0004218
